"","GSM3618686","GSM3618687","GSM3618688","GSM3618689","GSM3618690","GSM3618691","GSM3618692","GSM3618693"
"100039870_at",-1.01146856711559,-0.917185745763259,-0.679768600013349,-1.03121442309945,-0.846872265929645,-1.6131711873913,-1.12487122289918,-0.640727320614672
"100039875_at",0.151720342523037,0.265534983974881,0.335614032373848,0.0677628383740594,0.284370491470131,0.185262506098704,0.250494161618766,0.337500872007329
"100039904_at",NA,NA,NA,NA,-7.08079316808855,-4.71266255972936,-5.79650463282005,NA
"100039946_at",NA,NA,NA,NA,NA,NA,NA,NA
"100039968_at",-0.664286068536079,-1.01826058993195,-0.889584938156102,-0.745935909136637,-0.692680179416629,-0.750497491094072,-0.832795920830492,-1.33402354858106
"100039988_at",0.973649802217437,1.05209805234475,1.01922186577684,0.985379069045376,1.02310610993481,1.03714413272354,0.89136729011106,0.975119213756494
"100040001_at",1.48935050541368,1.50550552272578,1.46898363110088,1.51452624913181,1.50241654976258,1.46090317070436,1.45523783495741,1.55718923320837
"100040007_at",-4.30249919050446,-4.96710906135057,-6.07487878480292,NA,-7.37049021685612,-7.5885866669943,NA,-4.62954642811457
"100040018_at",-1.38479937728161,-1.37476898068271,-1.1239295245273,-1.11228437469711,-1.3414435897031,-1.1558867773254,-1.19550461764746,-1.29479152855707
"100040049_at",NA,NA,NA,NA,NA,NA,NA,NA
"100040099_at",-1.79449379761125,-1.71882738599618,-1.74636263215861,-1.54101621303948,-1.66778271707493,-1.44754446180807,-1.61065005812075,-1.76033902937779
"100040169_at",0.527279791417417,0.512123092694423,0.446283246417495,0.429417653176869,0.565261749258656,0.564245798454373,0.398880047576079,0.285553588842475
"100040201_at",NA,NA,NA,NA,NA,NA,NA,NA
"100040213_at",-3.73326093577006,-8.72190929316914,-3.36764492012024,-5.09705381843039,-4.0565307354654,-2.78292268299421,-2.33340819829156,-3.06618358349177
"100040214_at",NA,NA,NA,NA,NA,NA,NA,NA
"100040233_at",-1.25495796669914,-1.53346335693554,-1.67506033499546,-1.47849081026684,-1.52122542731886,-1.47799234281484,-4.58982946697748,-1.53081422883545
"100040234_at",NA,NA,NA,NA,NA,NA,NA,NA
"100040239_at",NA,NA,NA,NA,NA,NA,NA,NA
"100040244_at",-3.15621193210135,-2.8841217637716,-1.90764433192599,-2.63347738110838,-2.94597508377153,-1.96802048659112,-4.50936865540227,-2.7628752997581
"100040248_at",-2.02331251539794,-2.05867235453484,-1.87289348661623,-2.00376218108797,-2.10881139524593,-4.74743618408503,-5.751805621769,-2.54013529790931
"100040259_at",0.89588691316303,0.848819264784454,0.667084114183455,0.94410041360612,0.92620274070455,0.662521256226988,0.890330896531216,0.827958990132436
"100040260_at",-0.93828343273695,-1.18624094248512,-1.02366810610711,-1.17890532139669,-0.853245244478995,-0.721243409729379,-0.956760313770235,-0.682380854123827
"100040268_at",NA,-6.68046744627893,-7.11411878457762,NA,NA,NA,NA,-5.12744667595924
"100040287_at",0.666282806657197,0.711203836141667,0.658240446520921,0.672266639956673,0.77668201176644,0.647926663576725,0.538566672591328,0.585363235360682
"100040322_at",NA,NA,NA,NA,NA,NA,NA,NA
"100040366_at",-0.701837263742069,-0.57303163295439,-0.512993476958785,-0.680754861044348,-0.563041797467171,-0.55609146647095,-0.703605133382646,-0.590911122635785
"100040414_at",-2.98578372667262,-3.04537448486008,-3.46658445511616,-3.38340719957168,-2.98000538371148,-2.99261281807128,-2.68855179401515,-2.43099872198441
"100040439_at",NA,NA,NA,NA,NA,NA,NA,NA
"100040447_at",NA,NA,NA,NA,NA,NA,NA,-5.93361086764697
"100040496_at",NA,NA,NA,NA,NA,NA,-3.71184222058603,-2.94698747380492
"100040540_at",-0.0338702160606324,-0.0949382029517219,-0.34039139536104,0.0346598575582771,-0.129337747972012,-0.31266106323086,-0.47793240993794,-0.511726592252236
"100040589_at",-2.48331165285903,-2.37968514016201,-1.8847803403949,-2.14300601369973,-2.12362456560187,-1.73216125759454,-2.36326982919463,-2.18542424602973
"100040591_at",NA,NA,NA,NA,NA,NA,NA,NA
"100040608_at",-0.957433242451674,-1.05074954182463,-1.23139274941027,-1.06035507654208,-1.07834976704506,-1.4531127213261,-1.59464703199646,-1.68239232606814
"100040741_at",NA,NA,NA,NA,NA,NA,NA,NA
"100040766_at",NA,NA,NA,NA,NA,NA,NA,NA
"100040823_at",0.912956342770171,0.948792939640518,0.898964604846551,0.893980823030921,0.963367737939682,0.951258936253635,0.749953435713818,0.899255908617644
"100040843_at",1.38098170638604,1.586538039309,1.58330961166114,1.48462521111355,1.4934917809319,1.57795612126838,1.44136300951704,1.39798716939209
"100040851_at",NA,NA,NA,NA,NA,NA,NA,NA
"100040853_at",-0.722669152919867,-0.475728948204281,-0.414008541862243,-0.385921211156336,-0.324832225152095,-0.208380640183182,-0.717199704465882,-0.595696793225291
"100040882_at",NA,NA,NA,NA,NA,NA,NA,NA
"100040970_at",-0.786660587703387,-0.890557501856501,-0.84514395024783,-0.933494271030854,-0.893427519317192,-0.761209125324814,-0.931123139738706,-0.991504520004024
"100040999_at",-5.63346503606468,-4.53556843803496,NA,NA,NA,-8.49459422248296,-8.15189640207696,NA
"100041026_at",-4.44595941668621,-3.82136545730989,-4.32196196976462,-4.62583201435378,-3.62339859713707,-3.59205630277879,-4.14094338229609,NA
"100041085_at",0.495919616233093,0.421064353622169,0.435730506056899,0.523832931461879,0.49314288965015,0.564482374457094,0.45844551598968,0.416751739154037
"100041092_at",NA,NA,NA,NA,NA,NA,NA,NA
"100041121_at",NA,NA,NA,NA,NA,NA,NA,NA
"100041140_at",NA,NA,NA,NA,NA,NA,NA,NA
"100041154_at",-2.89239447175856,-2.12548034142724,-1.55762193170766,-3.11189396255797,-1.62989150846739,-1.91952162124096,-2.83788833331347,-1.52987112974511
"100041194_at",NA,NA,NA,NA,NA,NA,NA,NA
"100041224_at",-4.08208798788179,-3.91059001896254,-4.33667714123947,-5.41600214215459,-4.45894705547731,-3.87718691294904,-5.1954643408499,-4.66033918851759
"100041294_at",0.264800085321153,0.292132730854185,0.249852720061417,0.292527379079843,0.233386381260885,0.210102855784142,0.0143001166929134,0.178170267559827
"100041342_at",1.00675943512323,0.901256264815929,0.962955634975691,0.835092610396649,0.953244249465488,0.903347819969877,0.208777736697707,0.909365595726755
"100041359_at",-1.66465468596568,-1.63519347903151,-1.73760351699669,-1.43344130374711,-1.36818206124437,-1.45089361522796,-1.66309989899176,-1.62929828200791
"100041400_at",0.582861330715919,0.542407966350716,0.480873516317546,0.586970968565315,0.667966719375547,0.70032815843265,0.626021019304975,0.434277709101272
"100041403_at",NA,NA,NA,NA,NA,NA,NA,NA
"100041449_at",0.927647156478899,0.845951144281774,0.715160561526185,0.788060591358056,0.738426166159108,0.791154090472308,0.440429073904977,0.909127709791085
"100041480_at",NA,NA,NA,NA,NA,NA,NA,NA
"100041482_at",-1.2177441406813,-1.44422687518645,-1.0977605652631,-1.24284077436891,-1.05639221199003,-0.961887588695825,-1.29229026974737,-0.829501561108281
"100041488_at",-3.56406240683005,-1.91434655942959,-2.78742600967132,-3.72272673090078,-2.9284004152463,-2.30662077310519,NA,-3.42051947811437
"100041581_at",NA,NA,NA,NA,NA,NA,NA,NA
"100041598_at",-7.87831125971799,-3.81387454111465,-4.15137485641115,-4.69953782518971,-3.78971707839918,-5.45512276829656,NA,-4.78917427833005
"100041686_at",1.53670425336672,1.5713885285172,1.4547792421284,1.5217356423121,1.5011305861292,1.53240033546958,1.48054129570632,1.48872191340223
"100041697_at",0.429773137231124,0.436543596497309,0.504061800884803,0.583743227647625,0.449657642276317,0.451988057179649,0.501743266083504,0.195643513234927
"100041785_at",-0.377629178496649,-0.291323860853428,-0.407123080399224,-0.454935647889721,-0.306376049011329,-0.338741915813118,-0.39830669500456,-0.338129136827361
"100041786_at",-1.01690598857838,-0.841085888732647,-0.767955318339356,-0.97983083477199,-0.689460538301785,-1.09753275819748,-1.62432099985147,-1.55411717202237
"100041826_at",-1.60626851697168,-1.28189946078389,-1.1718486817394,-1.25637509058399,-1.51361550826712,-1.42037197135107,-2.7562306357174,-3.50125315534561
"100041859_at",0.641086217000543,0.566794033287883,0.645217977277542,0.654667245275647,0.714982413492491,0.620081301831194,0.622651195212275,0.658948690825403
"100041907_at",-1.72887642025634,-1.54055096420407,-2.0038075312815,-1.85006240205543,-1.85607181349019,-1.74039893353247,-2.94041562620272,-2.29382353700476
"100042008_at",1.08792653581195,1.10614041036018,1.13974832604681,1.13626879812343,1.11699913883046,1.15773518858388,0.956926798358185,1.09982593565498
"100042040_at",-1.44581441866639,-1.08693018153049,-1.20938906262747,-1.1883372377646,-1.23980013002462,-1.41424923758133,-1.58438852183526,-1.4976982952509
"100042056_at",NA,NA,NA,NA,NA,NA,NA,NA
"100042057_at",NA,NA,-4.87092118419594,NA,NA,NA,NA,NA
"100042069_at",-2.26965839753102,-1.75817051376896,-1.92031178229161,-2.01351503755012,-1.78389648808031,-1.47550971877211,-3.88323079174076,-3.41448759488403
"100042107_at",0.774137663492273,0.822444293497146,0.928937975741108,0.705459269603981,0.890667683792416,0.867280210701783,0.56948678136615,0.932627348281262
"100042150_at",NA,-7.3605272588135,NA,-5.15500409434905,NA,-5.86501389210766,NA,-7.72095262122178
"100042165_at",-2.02060997357487,-2.07033092993224,-2.0079887666659,-1.79932395961271,-1.86554612881794,-1.76667773933644,-1.79153322728872,-1.58557110734859
"100042171_at",NA,NA,NA,NA,NA,NA,NA,NA
"100042179_at",0.917797361121196,0.990033636930994,0.95001869726681,0.979629591340173,1.04560353364427,0.941444722249721,0.661171893630384,0.794468139729252
"100042266_at",-2.0517187934533,-2.06434465939133,-1.94126209533512,-1.840961600566,-1.7881365099401,-1.86056692708568,-2.22305277758668,-0.815674962095588
"100042332_at",-4.06291083451349,-4.54591731845557,-4.29939656434944,-3.77814035630963,-3.35715778507728,-2.74849889637698,-4.68965072063034,NA
"100042372_at",-3.22262549696688,-3.55406141187432,-3.43381960975055,-3.49855448737889,-4.06386936227881,-3.74041780086411,-3.02428979680093,-3.31225445037654
"100042375_at",0.840249919591327,0.870320598187044,0.885391968076737,0.900859232834003,0.888815109051238,0.854058760411454,0.681429403439308,0.837616472192498
"100042424_at",0.971150877785389,0.945268814316866,0.91675401420696,0.912697625934157,0.895681158891843,0.890779668347071,0.92691211884714,0.975424989127664
"100042446_at",NA,NA,NA,NA,NA,NA,NA,NA
"100042450_at",NA,NA,NA,NA,NA,NA,NA,NA
"100042471_at",NA,-7.40082695920449,NA,NA,NA,NA,NA,-5.66123564273756
"100042514_at",NA,NA,NA,NA,NA,NA,NA,NA
"100042530_at",-5.57843222215381,-3.42882121908012,-7.38848816045967,-3.69136715995559,-3.86116129507288,-4.56004523547525,-8.33190673328901,-3.6635843359202
"100042548_at",NA,NA,-8.28421403144585,NA,-4.79191174448955,NA,NA,-5.43076794755232
"100042604_at",-1.84784078077497,-1.75956755831799,-2.03868796888053,-1.53190370851946,-1.82765122542684,-1.408311607174,-1.7291645272074,-2.0548093513914
"100042605_at",NA,NA,NA,NA,NA,NA,NA,NA
"100042625_at",1.03538155883457,1.05624964455259,0.951521726223891,1.00108866808307,1.06704855042916,0.969319455731068,0.87802205132709,1.0432288116361
"100042651_at",NA,NA,NA,NA,NA,NA,NA,NA
"100042679_at",-4.74906837664177,-3.49297853796487,-4.51135761995782,-3.61539365243757,-2.81382183070535,-3.98249040975204,-2.91723361199151,-2.97316255498209
"100042734_at",1.15440426605429,1.18419377011788,1.24429877008132,1.17289846504707,1.17149774585519,1.24787409203883,1.10448595760572,1.16417531351483
"100042784_at",-3.69536237105054,-3.45920912605305,-4.0735139498517,-4.58062672967534,-3.71416603276912,-4.27461432896237,-3.90784334133121,-3.1560616542072
"100042807_at",0.872978636045473,0.900531307679168,0.952965458125711,0.919486659677256,0.9159661863449,0.963660650165627,0.922181837818498,0.825610266483835
"100042814_at",-4.87127722814642,NA,NA,-5.51125684321163,NA,-6.09775699590029,NA,NA
"100042828_at",NA,NA,NA,NA,NA,NA,NA,NA
"100042841_at",-5.69418702233023,NA,NA,-5.71518547633242,-4.7399630868445,-5.72048593346464,NA,NA
"100042855_at",NA,NA,NA,NA,NA,NA,NA,NA
